"CONFRONTO_CASA","CONFRONTO_FORA"
São Paulo,Botafogo
Athletico PR,Atlético Mineiro
Bragantino,Fortaleza
Internacional,Botafogo
Palmeiras,Bahia
Goiás,Grêmio
Ceará,Atlético GO
Flamengo,Santos
Corinthians,São Paulo
Sport Recife,Coritiba
Vasco da Gama,Fluminense
Atlético GO,Fluminense
São Paulo,Atlético Mineiro
Sport Recife,Grêmio
Coritiba,Botafogo
Internacional,Palmeiras
Vasco da Gama,Santos
Bragantino,Athletico PR
Flamengo,Bahia
Fortaleza,Ceará
Corinthians,Goiás
