"CONFRONTO_CASA","CONFRONTO_FORA","DIF_GOLS_FT","Result"
Internacional,Santos,0,EMPATE
Cruzeiro,Ceará,2,FORA
Vitória,São Paulo,1,FORA
Vasco da Gama,Internacional,0,EMPATE
Santos,Fluminense,3,CASA
Grêmio,Sport Recife,1,FORA
Chapecoense,América Mineiro,1,CASA
Flamengo,Palmeiras,0,EMPATE
Corinthians,Bahia,1,CASA
Cruzeiro,Paraná,2,CASA
Athletico PR,Botafogo,1,CASA
Ceará,Atlético Mineiro,1,CASA
Atlético Mineiro,Grêmio,1,FORA
Fluminense,Vasco da Gama,1,FORA
Palmeiras,Santos,1,CASA
Paraná,Vitória,0,EMPATE
América Mineiro,Cruzeiro,1,FORA
Botafogo,Corinthians,1,CASA
São Paulo,Flamengo,0,EMPATE
Bahia,Chapecoense,1,CASA
Internacional,Athletico PR,1,CASA
Sport Recife,Ceará,1,CASA
América Mineiro,Paraná,1,FORA
Corinthians,São Paulo,0,EMPATE
Athletico PR,Cruzeiro,2,CASA
Botafogo,Flamengo,1,CASA
Atlético Mineiro,Palmeiras,0,EMPATE
Vitória,Bahia,0,EMPATE
Ceará,Internacional,0,EMPATE
Grêmio,Vasco da Gama,1,CASA
Fluminense,Sport Recife,0,EMPATE
Santos,Chapecoense,1,FORA
Vasco da Gama,Athletico PR,0,EMPATE
Paraná,Atlético Mineiro,1,FORA
Bahia,Ceará,1,CASA
Cruzeiro,Corinthians,1,CASA
Sport Recife,Vitória,0,EMPATE
Palmeiras,Fluminense,3,CASA
Chapecoense,Botafogo,1,FORA
Flamengo,Santos,1,CASA
São Paulo,Grêmio,0,EMPATE
Internacional,América Mineiro,2,CASA
Vitória,Athletico PR,1,FORA
Corinthians,Vasco da Gama,1,CASA
Atlético Mineiro,Bahia,1,CASA
Paraná,Palmeiras,0,EMPATE
América Mineiro,Santos,1,CASA
Botafogo,Internacional,1,CASA
Sport Recife,Flamengo,1,FORA
São Paulo,Cruzeiro,1,CASA
Grêmio,Chapecoense,2,CASA
Fluminense,Ceará,0,EMPATE
Internacional,Atlético Mineiro,1,FORA
Santos,Botafogo,0,EMPATE
Cruzeiro,Vitória,3,CASA
Athletico PR,Corinthians,1,CASA
Flamengo,Grêmio,2,CASA
Palmeiras,América Mineiro,4,CASA
Vasco da Gama,São Paulo,2,CASA
Chapecoense,Sport Recife,1,CASA
Bahia,Fluminense,2,CASA
Ceará,Paraná,1,CASA
Santos,Atlético Mineiro,1,CASA
Cruzeiro,Flamengo,2,FORA
Athletico PR,Ceará,0,EMPATE
Vitória,Grêmio,0,EMPATE
Vasco da Gama,Palmeiras,1,FORA
América Mineiro,Bahia,1,CASA
Corinthians,Chapecoense,0,EMPATE
Internacional,Fluminense,2,CASA
Botafogo,Paraná,1,CASA
São Paulo,Sport Recife,0,EMPATE
Atlético Mineiro,Botafogo,1,CASA
Flamengo,Athletico PR,1,FORA
Paraná,Internacional,0,EMPATE
Chapecoense,São Paulo,1,CASA
Bahia,Cruzeiro,0,EMPATE
Fluminense,América Mineiro,1,CASA
Ceará,Vasco da Gama,0,EMPATE
Sport Recife,Santos,1,CASA
Palmeiras,Vitória,1,CASA
Grêmio,Corinthians,1,CASA
São Paulo,Botafogo,2,CASA
Atlético Mineiro,Avaí,1,CASA
Chapecoense,Internacional,2,CASA
Flamengo,Cruzeiro,2,CASA
Grêmio,Santos,1,FORA
Ceará,CSA,4,CASA
Bahia,Corinthians,1,CASA
Athletico PR,Vasco da Gama,3,CASA
Palmeiras,Fortaleza,4,CASA
Fluminense,Goiás,1,FORA
Internacional,Flamengo,1,CASA
Corinthians,Chapecoense,1,CASA
CSA,Palmeiras,0,EMPATE
Cruzeiro,Ceará,1,CASA
Avaí,Grêmio,0,EMPATE
Fortaleza,Athletico PR,1,CASA
Vasco da Gama,Atlético Mineiro,1,FORA
Goiás,São Paulo,1,FORA
Santos,Fluminense,1,CASA
Botafogo,Bahia,1,CASA
Palmeiras,Internacional,1,CASA
Vasco da Gama,Corinthians,0,EMPATE
Ceará,Atlético Mineiro,1,FORA
Chapecoense,Athletico PR,0,EMPATE
Cruzeiro,Goiás,1,CASA
São Paulo,Flamengo,0,EMPATE
Botafogo,Fortaleza,1,CASA
CSA,Santos,0,EMPATE
Grêmio,Fluminense,1,FORA
Bahia,Avaí,1,CASA
Fluminense,Botafogo,1,FORA
Corinthians,Grêmio,0,EMPATE
Goiás,Ceará,1,CASA
Flamengo,Chapecoense,1,CASA
Internacional,Cruzeiro,2,CASA
Atlético Mineiro,Palmeiras,2,FORA
Santos,Vasco da Gama,3,CASA
Fortaleza,São Paulo,1,FORA
Avaí,CSA,0,EMPATE
Athletico PR,Bahia,1,CASA
Fluminense,Cruzeiro,3,CASA
Atlético Mineiro,Flamengo,1,CASA
Palmeiras,Santos,4,CASA
São Paulo,Bahia,0,EMPATE
Internacional,CSA,2,CASA
Chapecoense,Fortaleza,2,FORA
Goiás,Botafogo,1,CASA
Athletico PR,Corinthians,2,FORA
Ceará,Grêmio,1,CASA
Vasco da Gama,Avaí,0,EMPATE
Botafogo,Palmeiras,1,FORA
Grêmio,Atlético Mineiro,1,CASA
Santos,Internacional,0,EMPATE
Flamengo,Athletico PR,1,CASA
Cruzeiro,Chapecoense,1,FORA
Fortaleza,Vasco da Gama,0,EMPATE
Corinthians,São Paulo,1,CASA
Bahia,Fluminense,1,CASA
Avaí,Ceará,1,FORA
CSA,Goiás,1,CASA
Flamengo,Fortaleza,2,CASA
Bahia,Grêmio,1,CASA
Botafogo,Vasco da Gama,1,CASA
Ceará,Santos,1,FORA
São Paulo,Cruzeiro,0,EMPATE
Athletico PR,Fluminense,3,CASA
Internacional,Avaí,2,CASA
Atlético Mineiro,CSA,4,CASA
Chapecoense,Palmeiras,1,FORA
Vasco da Gama,Internacional,1,CASA
Palmeiras,Athletico PR,1,CASA
Grêmio,Fortaleza,1,CASA
Cruzeiro,Corinthians,0,EMPATE
Ceará,Bahia,0,EMPATE
Avaí,São Paulo,0,EMPATE
Santos,Atlético Mineiro,2,CASA
Fluminense,Flamengo,0,EMPATE
CSA,Botafogo,1,FORA
Goiás,Chapecoense,2,CASA
Botafogo,Grêmio,1,FORA
Fortaleza,Cruzeiro,1,CASA
Internacional,Bahia,2,CASA
Santos,Corinthians,1,CASA
CSA,Flamengo,2,FORA
Vasco da Gama,Ceará,1,CASA
Atlético Mineiro,São Paulo,0,EMPATE
Palmeiras,Avaí,2,CASA
Chapecoense,Fluminense,0,EMPATE
Goiás,Athletico PR,1,CASA
Grêmio,Vasco da Gama,1,CASA
Fortaleza,Avaí,2,CASA
São Paulo,Palmeiras,0,EMPATE
Bahia,Santos,1,FORA
Flamengo,Goiás,5,CASA
Cruzeiro,Botafogo,0,EMPATE
Corinthians,CSA,1,CASA
Athletico PR,Internacional,1,CASA
Chapecoense,Atlético Mineiro,1,FORA
Fluminense,Ceará,0,EMPATE
Vasco da Gama,Fluminense,1,CASA
Bahia,Cruzeiro,0,EMPATE
Internacional,Grêmio,0,EMPATE
Ceará,Palmeiras,2,CASA
CSA,Athletico PR,4,FORA
Botafogo,Santos,1,FORA
Atlético Mineiro,Fortaleza,0,EMPATE
Corinthians,Flamengo,0,EMPATE
Avaí,Goiás,0,EMPATE
São Paulo,Chapecoense,4,CASA
Palmeiras,Vasco da Gama,0,EMPATE
Internacional,Ceará,1,CASA
Cruzeiro,Athletico PR,2,FORA
Fluminense,São Paulo,1,FORA
Chapecoense,Bahia,0,EMPATE
Santos,Avaí,2,CASA
Flamengo,Botafogo,1,CASA
Fortaleza,Corinthians,2,FORA
Goiás,Atlético Mineiro,0,EMPATE
CSA,Grêmio,0,EMPATE
Ceará,Fortaleza,1,CASA
Fluminense,Internacional,1,CASA
Santos,Goiás,5,CASA
Avaí,Botafogo,2,FORA
Bahia,Flamengo,3,CASA
Atlético Mineiro,Cruzeiro,2,CASA
Corinthians,Palmeiras,0,EMPATE
Vasco da Gama,CSA,0,EMPATE
Grêmio,Chapecoense,0,EMPATE
Corinthians,Goiás,2,CASA
Ceará,Chapecoense,3,CASA
São Paulo,Santos,1,CASA
Flamengo,Grêmio,2,CASA
Atlético Mineiro,Fluminense,1,CASA
Internacional,Corinthians,0,EMPATE
Palmeiras,Bahia,0,EMPATE
Botafogo,Athletico PR,1,CASA
Avaí,Cruzeiro,0,EMPATE
Goiás,Vasco da Gama,1,FORA
CSA,Fortaleza,2,FORA
Fortaleza,Internacional,1,FORA
Corinthians,Botafogo,2,CASA
Vasco da Gama,Flamengo,3,FORA
Athletico PR,Atlético Mineiro,1,CASA
Grêmio,Palmeiras,0,EMPATE
Cruzeiro,Santos,2,CASA
São Paulo,Ceará,1,CASA
Fluminense,CSA,1,FORA
Bahia,Goiás,0,EMPATE
Chapecoense,Avaí,1,CASA
Athletico PR,São Paulo,1,FORA
Atlético Mineiro,Bahia,1,FORA
Grêmio,Athletico PR,1,CASA
Santos,Fortaleza,0,EMPATE
Vasco da Gama,São Paulo,2,CASA
Goiás,Internacional,1,CASA
Ceará,Flamengo,3,FORA
Avaí,Corinthians,0,EMPATE
CSA,Cruzeiro,0,EMPATE
Botafogo,Chapecoense,0,EMPATE
São Paulo,Grêmio,0,EMPATE
Bahia,CSA,1,CASA
Chapecoense,Santos,1,FORA
Athletico PR,Ceará,1,CASA
Internacional,Botafogo,1,CASA
Fortaleza,Goiás,2,CASA
Flamengo,Palmeiras,3,CASA
Cruzeiro,Vasco da Gama,1,CASA
Corinthians,Atlético Mineiro,1,CASA
Fluminense,Avaí,1,FORA
Corinthians,Ceará,0,EMPATE
Vasco da Gama,Bahia,2,FORA
Fortaleza,Fluminense,1,FORA
Avaí,Flamengo,3,FORA
Internacional,São Paulo,1,CASA
Goiás,Palmeiras,1,FORA
Cruzeiro,Grêmio,3,FORA
Santos,Athletico PR,0,EMPATE
Botafogo,Atlético Mineiro,1,CASA
CSA,Chapecoense,2,CASA
Palmeiras,Fluminense,3,CASA
Flamengo,Santos,1,CASA
Palmeiras,Cruzeiro,1,CASA
Chapecoense,Vasco da Gama,1,FORA
Ceará,Botafogo,0,EMPATE
Atlético Mineiro,Internacional,2,FORA
Athletico PR,Avaí,1,FORA
Grêmio,Goiás,3,CASA
Fluminense,Corinthians,1,CASA
Bahia,Fortaleza,0,EMPATE
São Paulo,CSA,0,EMPATE
Botafogo,São Paulo,1,FORA
Cruzeiro,Flamengo,1,FORA
Corinthians,Bahia,1,CASA
Santos,Grêmio,3,FORA
Internacional,Chapecoense,1,CASA
Fortaleza,Palmeiras,1,FORA
Vasco da Gama,Athletico PR,0,EMPATE
CSA,Ceará,1,CASA
Goiás,Fluminense,3,CASA
Avaí,Atlético Mineiro,1,CASA
Ceará,Cruzeiro,0,EMPATE
São Paulo,Goiás,1,FORA
Flamengo,Internacional,2,CASA
Bahia,Botafogo,2,CASA
Palmeiras,CSA,4,CASA
Grêmio,Avaí,5,CASA
Fluminense,Santos,0,EMPATE
Athletico PR,Fortaleza,3,CASA
Flamengo,São Paulo,0,EMPATE
Corinthians,Vasco da Gama,1,CASA
Internacional,Palmeiras,0,EMPATE
Santos,CSA,2,CASA
Fluminense,Grêmio,1,CASA
Atlético Mineiro,Ceará,1,CASA
Athletico PR,Chapecoense,0,EMPATE
Fortaleza,Botafogo,1,CASA
Avaí,Bahia,2,FORA
Goiás,Cruzeiro,1,CASA
Atlético Mineiro,Vasco da Gama,1,FORA
Chapecoense,Corinthians,1,FORA
São Paulo,Fortaleza,1,CASA
Vasco da Gama,Santos,1,FORA
Grêmio,Corinthians,0,EMPATE
Bahia,Athletico PR,1,FORA
Cruzeiro,Internacional,0,EMPATE
Chapecoense,Flamengo,1,FORA
Ceará,Goiás,1,FORA
Palmeiras,Atlético Mineiro,0,EMPATE
Botafogo,Fluminense,1,FORA
CSA,Avaí,2,CASA
Botafogo,Goiás,2,CASA
CSA,Internacional,1,CASA
Fortaleza,Chapecoense,2,CASA
Grêmio,Ceará,1,CASA
Bahia,São Paulo,0,EMPATE
Cruzeiro,Fluminense,0,EMPATE
Santos,Palmeiras,2,CASA
Corinthians,Athletico PR,0,EMPATE
Avaí,Vasco da Gama,0,EMPATE
Flamengo,Atlético Mineiro,2,CASA
Goiás,CSA,1,CASA
Fluminense,Bahia,2,CASA
Palmeiras,Botafogo,1,CASA
Internacional,Santos,0,EMPATE
Ceará,Avaí,1,CASA
Vasco da Gama,Fortaleza,1,CASA
Athletico PR,Flamengo,2,FORA
São Paulo,Corinthians,1,CASA
Atlético Mineiro,Grêmio,3,FORA
Chapecoense,Cruzeiro,0,EMPATE
Grêmio,Bahia,1,FORA
CSA,Atlético Mineiro,0,EMPATE
Fortaleza,Flamengo,1,FORA
Cruzeiro,São Paulo,1,CASA
Palmeiras,Chapecoense,1,CASA
Vasco da Gama,Botafogo,1,CASA
Goiás,Corinthians,0,EMPATE
Santos,Ceará,1,CASA
Avaí,Internacional,2,FORA
Fluminense,Athletico PR,1,FORA
Fortaleza,Grêmio,1,CASA
Corinthians,Cruzeiro,1,FORA
Internacional,Vasco da Gama,1,FORA
Atlético Mineiro,Santos,2,CASA
São Paulo,Avaí,1,CASA
Flamengo,Fluminense,2,CASA
Chapecoense,Goiás,0,EMPATE
Athletico PR,Palmeiras,0,EMPATE
Bahia,Ceará,1,FORA
Botafogo,CSA,1,CASA
Ceará,Vasco da Gama,0,EMPATE
Corinthians,Santos,0,EMPATE
Bahia,Internacional,1,FORA
Fluminense,Chapecoense,0,EMPATE
Cruzeiro,Fortaleza,0,EMPATE
Grêmio,Botafogo,3,CASA
São Paulo,Atlético Mineiro,2,CASA
Athletico PR,Goiás,3,CASA
Avaí,Palmeiras,1,FORA
Flamengo,CSA,1,CASA
Atlético Mineiro,Chapecoense,2,FORA
Palmeiras,São Paulo,3,CASA
Avaí,Fortaleza,2,FORA
Ceará,Fluminense,2,CASA
Vasco da Gama,Grêmio,2,FORA
CSA,Corinthians,1,CASA
Santos,Bahia,1,CASA
Goiás,Flamengo,0,EMPATE
Internacional,Athletico PR,0,EMPATE
Botafogo,Cruzeiro,2,FORA
Fortaleza,Atlético Mineiro,0,EMPATE
Palmeiras,Ceará,1,CASA
Fluminense,Vasco da Gama,0,EMPATE
Chapecoense,São Paulo,3,FORA
Flamengo,Corinthians,3,CASA
Grêmio,Internacional,2,CASA
Athletico PR,CSA,1,CASA
Cruzeiro,Bahia,0,EMPATE
Santos,Botafogo,3,CASA
Goiás,Avaí,2,CASA
Corinthians,Fortaleza,1,CASA
Atlético Mineiro,Goiás,2,CASA
Avaí,Santos,1,FORA
Vasco da Gama,Palmeiras,1,FORA
Bahia,Chapecoense,0,EMPATE
Athletico PR,Cruzeiro,0,EMPATE
Ceará,Internacional,2,CASA
São Paulo,Fluminense,2,FORA
Botafogo,Flamengo,1,FORA
Grêmio,CSA,1,CASA
Goiás,Santos,3,FORA
Palmeiras,Corinthians,0,EMPATE
Internacional,Fluminense,1,CASA
Cruzeiro,Atlético Mineiro,0,EMPATE
São Paulo,Athletico PR,1,FORA
Flamengo,Bahia,2,CASA
Fortaleza,Ceará,1,CASA
Chapecoense,Grêmio,1,FORA
CSA,Vasco da Gama,3,FORA
Botafogo,Avaí,2,CASA
Flamengo,Vasco da Gama,0,EMPATE
Santos,São Paulo,0,EMPATE
Fluminense,Atlético Mineiro,0,EMPATE
Grêmio,Flamengo,1,FORA
Bahia,Palmeiras,0,EMPATE
Corinthians,Internacional,0,EMPATE
Chapecoense,Ceará,1,CASA
Athletico PR,Botafogo,1,CASA
Fortaleza,CSA,3,CASA
Vasco da Gama,Goiás,0,EMPATE
Cruzeiro,Avaí,0,EMPATE
Santos,Cruzeiro,3,CASA
Atlético Mineiro,Athletico PR,1,FORA
Palmeiras,Grêmio,1,FORA
Goiás,Bahia,1,CASA
Botafogo,Corinthians,1,CASA
Internacional,Fortaleza,0,EMPATE
Ceará,São Paulo,0,EMPATE
Avaí,Chapecoense,1,FORA
CSA,Fluminense,1,FORA
Internacional,Goiás,1,FORA
Chapecoense,Botafogo,1,FORA
Bahia,Atlético Mineiro,0,EMPATE
Corinthians,Avaí,3,CASA
Flamengo,Ceará,3,CASA
Athletico PR,Grêmio,2,CASA
Fluminense,Palmeiras,1,CASA
Fortaleza,Santos,1,CASA
