LIGA,CONFRONTO_CASA,CONFRONTO_FORA,PLACAR_CASA,PLACAR_FORA,RESULTADO
BRASIL - SÉRIE A,FLAMENGO,ATLÉTICO MINEIRO,3,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,GOIÁS,3,1,CASA
BRASIL - SÉRIE A,CS ALAGOANO,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,CHAPECOENSE,2,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,INTERNACIONAL,1,1,EMPATE
BRASIL - SÉRIE A,CHAPECOENSE,FLAMENGO,0,1,FORA
BRASIL - SÉRIE A,BOTAFOGO,FLUMINENSE,0,1,FORA
BRASIL - SÉRIE A,PALMEIRAS,ATLÉTICO MINEIRO,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,GOIÁS,0,1,FORA
BRASIL - SÉRIE A,CS ALAGOANO,AVAÍ,3,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,SANTOS,0,1,FORA
BRASIL - SÉRIE A,SÃO PAULO,FORTALEZA EC,2,1,CASA
BRASIL - SÉRIE A,GRÊMIO,CORINTHIANS,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,ATLÉTICO PARANAENSE,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,VASCO DA GAMA,1,2,FORA
BRASIL - SÉRIE A,CHAPECOENSE,CORINTHIANS,0,1,FORA
BRASIL - SÉRIE A,FORTALEZA EC,BOTAFOGO,1,0,CASA
BRASIL - SÉRIE A,AVAÍ,EC BAHIA,0,2,FORA
BRASIL - SÉRIE A,GOIÁS,CRUZEIRO,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,GRÊMIO,2,1,CASA
BRASIL - SÉRIE A,INTERNACIONAL,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,SANTOS,CS ALAGOANO,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CHAPECOENSE,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,FLAMENGO,SÃO PAULO,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,FORTALEZA EC,4,1,CASA
BRASIL - SÉRIE A,SÃO PAULO,GOIÁS,0,1,FORA
BRASIL - SÉRIE A,FLAMENGO,INTERNACIONAL,3,1,CASA
BRASIL - SÉRIE A,EC BAHIA,BOTAFOGO,2,0,CASA
BRASIL - SÉRIE A,PALMEIRAS,CS ALAGOANO,6,2,CASA
BRASIL - SÉRIE A,GRÊMIO,AVAÍ,6,1,CASA
BRASIL - SÉRIE A,FLUMINENSE,SANTOS,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,CRUZEIRO,0,0,EMPATE
BRASIL - SÉRIE A,AVAÍ,ATLÉTICO MINEIRO,1,0,CASA
BRASIL - SÉRIE A,SANTOS,GRÊMIO,0,3,FORA
BRASIL - SÉRIE A,INTERNACIONAL,CHAPECOENSE,1,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,PALMEIRAS,0,1,FORA
BRASIL - SÉRIE A,CS ALAGOANO,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,GOIÁS,FLUMINENSE,3,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,SÃO PAULO,1,2,FORA
BRASIL - SÉRIE A,CRUZEIRO,FLAMENGO,1,2,FORA
BRASIL - SÉRIE A,CORINTHIANS,EC BAHIA,2,1,CASA
BRASIL - SÉRIE A,CEARÁ,BOTAFOGO,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,INTERNACIONAL,1,3,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,AVAÍ,0,1,FORA
BRASIL - SÉRIE A,FLUMINENSE,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,GRÊMIO,GOIÁS,3,0,CASA
BRASIL - SÉRIE A,EC BAHIA,FORTALEZA EC,1,1,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,CS ALAGOANO,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,SANTOS,1,0,CASA
BRASIL - SÉRIE A,PALMEIRAS,CRUZEIRO,1,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,VASCO DA GAMA,1,2,FORA
BRASIL - SÉRIE A,PALMEIRAS,FLUMINENSE,3,0,CASA
BRASIL - SÉRIE A,GOIÁS,PALMEIRAS,1,2,FORA
BRASIL - SÉRIE A,CRUZEIRO,GRÊMIO,1,4,FORA
BRASIL - SÉRIE A,BOTAFOGO,ATLÉTICO MINEIRO,2,1,CASA
BRASIL - SÉRIE A,SANTOS,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,CS ALAGOANO,CHAPECOENSE,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,EC BAHIA,0,2,FORA
BRASIL - SÉRIE A,CORINTHIANS,CEARÁ,2,2,EMPATE
BRASIL - SÉRIE A,FORTALEZA EC,FLUMINENSE,0,1,FORA
BRASIL - SÉRIE A,AVAÍ,FLAMENGO,0,3,FORA
BRASIL - SÉRIE A,INTERNACIONAL,SÃO PAULO,1,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,AVAÍ,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,BOTAFOGO,3,2,CASA
BRASIL - SÉRIE A,FLAMENGO,PALMEIRAS,3,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,GOIÁS,2,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,ATLÉTICO MINEIRO,1,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,GRÊMIO,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,CS ALAGOANO,1,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,SANTOS,0,1,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,CHAPECOENSE,0,0,EMPATE
BRASIL - SÉRIE A,VASCO DA GAMA,SÃO PAULO,2,0,CASA
BRASIL - SÉRIE A,GOIÁS,INTERNACIONAL,2,1,CASA
BRASIL - SÉRIE A,SANTOS,FORTALEZA EC,3,3,EMPATE
BRASIL - SÉRIE A,AVAÍ,CORINTHIANS,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,FLAMENGO,0,3,FORA
BRASIL - SÉRIE A,CS ALAGOANO,CRUZEIRO,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,EC BAHIA,0,1,FORA
BRASIL - SÉRIE A,GRÊMIO,ATLÉTICO PARANAENSE,2,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,SÃO PAULO,0,1,FORA
BRASIL - SÉRIE A,GRÊMIO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,SÃO PAULO,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,SANTOS,2,0,CASA
BRASIL - SÉRIE A,EC BAHIA,GOIÁS,1,1,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,CS ALAGOANO,0,1,FORA
BRASIL - SÉRIE A,CHAPECOENSE,AVAÍ,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,BOTAFOGO,2,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,INTERNACIONAL,0,1,FORA
BRASIL - SÉRIE A,VASCO DA GAMA,FLAMENGO,1,4,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,ATLÉTICO MINEIRO,1,0,CASA
BRASIL - SÉRIE A,CS ALAGOANO,FORTALEZA EC,0,2,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,FLUMINENSE,2,1,CASA
BRASIL - SÉRIE A,INTERNACIONAL,CORINTHIANS,0,0,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,ATLÉTICO PARANAENSE,2,1,CASA
BRASIL - SÉRIE A,PALMEIRAS,EC BAHIA,2,2,EMPATE
BRASIL - SÉRIE A,AVAÍ,CRUZEIRO,2,2,EMPATE
BRASIL - SÉRIE A,GOIÁS,VASCO DA GAMA,0,1,FORA
BRASIL - SÉRIE A,SÃO PAULO,SANTOS,3,2,CASA
BRASIL - SÉRIE A,CEARÁ,CHAPECOENSE,4,1,CASA
BRASIL - SÉRIE A,FLAMENGO,GRÊMIO,3,1,CASA
BRASIL - SÉRIE A,CORINTHIANS,GOIÁS,2,0,CASA
BRASIL - SÉRIE A,GRÊMIO,CHAPECOENSE,3,3,EMPATE
BRASIL - SÉRIE A,SANTOS,GOIÁS,6,1,CASA
BRASIL - SÉRIE A,EC BAHIA,FLAMENGO,3,0,CASA
BRASIL - SÉRIE A,AVAÍ,BOTAFOGO,0,2,FORA
BRASIL - SÉRIE A,CORINTHIANS,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CRUZEIRO,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,CS ALAGOANO,0,0,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,INTERNACIONAL,2,1,CASA
BRASIL - SÉRIE A,CEARÁ,FORTALEZA EC,2,1,CASA
BRASIL - SÉRIE A,CS ALAGOANO,GRÊMIO,0,0,EMPATE
BRASIL - SÉRIE A,CHAPECOENSE,EC BAHIA,0,0,EMPATE
BRASIL - SÉRIE A,FLAMENGO,BOTAFOGO,3,2,CASA
BRASIL - SÉRIE A,SANTOS,AVAÍ,3,1,CASA
BRASIL - SÉRIE A,FORTALEZA EC,CORINTHIANS,1,3,FORA
BRASIL - SÉRIE A,GOIÁS,ATLÉTICO MINEIRO,0,0,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,VASCO DA GAMA,1,1,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,SÃO PAULO,1,2,FORA
BRASIL - SÉRIE A,INTERNACIONAL,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,ATLÉTICO PARANAENSE,0,2,FORA
BRASIL - SÉRIE A,SÃO PAULO,CHAPECOENSE,4,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,SANTOS,0,1,FORA
BRASIL - SÉRIE A,CORINTHIANS,FLAMENGO,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,FORTALEZA EC,2,2,EMPATE
BRASIL - SÉRIE A,AVAÍ,GOIÁS,0,0,EMPATE
BRASIL - SÉRIE A,VASCO DA GAMA,FLUMINENSE,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,CRUZEIRO,0,0,EMPATE
BRASIL - SÉRIE A,INTERNACIONAL,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,PALMEIRAS,2,0,CASA
BRASIL - SÉRIE A,CS ALAGOANO,ATLÉTICO PARANAENSE,0,4,FORA
BRASIL - SÉRIE A,FLUMINENSE,CEARÁ,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,GOIÁS,6,1,CASA
BRASIL - SÉRIE A,CRUZEIRO,BOTAFOGO,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,CS ALAGOANO,1,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,ATLÉTICO MINEIRO,1,2,FORA
BRASIL - SÉRIE A,GRÊMIO,VASCO DA GAMA,2,1,CASA
BRASIL - SÉRIE A,FORTALEZA EC,AVAÍ,2,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,EC BAHIA,SANTOS,0,1,FORA
BRASIL - SÉRIE A,FORTALEZA EC,CRUZEIRO,2,1,CASA
BRASIL - SÉRIE A,INTERNACIONAL,EC BAHIA,3,1,CASA
BRASIL - SÉRIE A,SANTOS,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,CS ALAGOANO,FLAMENGO,0,2,FORA
BRASIL - SÉRIE A,VASCO DA GAMA,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,FLUMINENSE,1,1,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,AVAÍ,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,GOIÁS,ATLÉTICO PARANAENSE,2,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,GRÊMIO,0,1,FORA
BRASIL - SÉRIE A,GOIÁS,CHAPECOENSE,3,1,CASA
BRASIL - SÉRIE A,AVAÍ,SÃO PAULO,0,0,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,FLAMENGO,0,0,EMPATE
BRASIL - SÉRIE A,SANTOS,ATLÉTICO MINEIRO,3,1,CASA
BRASIL - SÉRIE A,CS ALAGOANO,BOTAFOGO,1,2,FORA
BRASIL - SÉRIE A,PALMEIRAS,ATLÉTICO PARANAENSE,1,0,CASA
BRASIL - SÉRIE A,GRÊMIO,FORTALEZA EC,1,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,CORINTHIANS,0,0,EMPATE
BRASIL - SÉRIE A,CEARÁ,EC BAHIA,0,0,EMPATE
BRASIL - SÉRIE A,VASCO DA GAMA,INTERNACIONAL,2,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,FLUMINENSE,3,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,CRUZEIRO,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,SANTOS,0,1,FORA
BRASIL - SÉRIE A,CHAPECOENSE,PALMEIRAS,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,CS ALAGOANO,4,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,AVAÍ,2,0,CASA
BRASIL - SÉRIE A,FLAMENGO,FORTALEZA EC,2,0,CASA
BRASIL - SÉRIE A,EC BAHIA,GRÊMIO,1,0,CASA
BRASIL - SÉRIE A,AVAÍ,CEARÁ,1,2,FORA
BRASIL - SÉRIE A,CS ALAGOANO,GOIÁS,1,0,CASA
BRASIL - SÉRIE A,SANTOS,INTERNACIONAL,0,0,EMPATE
BRASIL - SÉRIE A,FLAMENGO,ATLÉTICO PARANAENSE,3,2,CASA
BRASIL - SÉRIE A,FORTALEZA EC,VASCO DA GAMA,1,1,EMPATE
BRASIL - SÉRIE A,EC BAHIA,FLUMINENSE,3,2,CASA
BRASIL - SÉRIE A,CORINTHIANS,SÃO PAULO,1,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,CHAPECOENSE,1,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,PALMEIRAS,0,1,FORA
BRASIL - SÉRIE A,GRÊMIO,ATLÉTICO MINEIRO,1,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,EC BAHIA,0,0,EMPATE
BRASIL - SÉRIE A,GOIÁS,BOTAFOGO,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CORINTHIANS,0,2,FORA
BRASIL - SÉRIE A,CHAPECOENSE,FORTALEZA EC,1,3,FORA
BRASIL - SÉRIE A,INTERNACIONAL,CS ALAGOANO,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,AVAÍ,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,GRÊMIO,2,1,CASA
BRASIL - SÉRIE A,FLUMINENSE,CRUZEIRO,4,1,CASA
BRASIL - SÉRIE A,PALMEIRAS,SANTOS,4,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,FLAMENGO,2,1,CASA
BRASIL - SÉRIE A,GOIÁS,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,FLAMENGO,CHAPECOENSE,2,1,CASA
BRASIL - SÉRIE A,SANTOS,VASCO DA GAMA,3,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,CRUZEIRO,3,1,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,PALMEIRAS,0,2,FORA
BRASIL - SÉRIE A,FORTALEZA EC,SÃO PAULO,0,1,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,AVAÍ,CS ALAGOANO,0,0,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,BOTAFOGO,0,1,FORA
BRASIL - SÉRIE A,CORINTHIANS,GRÊMIO,0,0,EMPATE
BRASIL - SÉRIE A,CEARÁ,ATLÉTICO MINEIRO,1,2,FORA
BRASIL - SÉRIE A,CHAPECOENSE,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,FORTALEZA EC,1,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,FLAMENGO,1,1,EMPATE
BRASIL - SÉRIE A,CRUZEIRO,GOIÁS,2,1,CASA
BRASIL - SÉRIE A,CS ALAGOANO,SANTOS,0,0,EMPATE
BRASIL - SÉRIE A,GRÊMIO,FLUMINENSE,4,5,FORA
BRASIL - SÉRIE A,EC BAHIA,AVAÍ,1,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,CORINTHIANS,1,1,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,ATLÉTICO MINEIRO,1,2,FORA
BRASIL - SÉRIE A,GOIÁS,SÃO PAULO,1,2,FORA
BRASIL - SÉRIE A,FORTALEZA EC,ATLÉTICO PARANAENSE,2,1,CASA
BRASIL - SÉRIE A,SANTOS,FLUMINENSE,2,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,EC BAHIA,3,2,CASA
BRASIL - SÉRIE A,INTERNACIONAL,FLAMENGO,2,1,CASA
BRASIL - SÉRIE A,CORINTHIANS,CHAPECOENSE,1,0,CASA
BRASIL - SÉRIE A,CS ALAGOANO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,AVAÍ,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,CRUZEIRO,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,FLAMENGO,CRUZEIRO,3,1,CASA
BRASIL - SÉRIE A,GRÊMIO,SANTOS,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,VASCO DA GAMA,4,1,CASA
BRASIL - SÉRIE A,EC BAHIA,CORINTHIANS,3,2,CASA
BRASIL - SÉRIE A,CEARÁ,CS ALAGOANO,4,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,GOIÁS,0,1,FORA
BRASIL - SÉRIE A,PALMEIRAS,FORTALEZA EC,4,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,BOTAFOGO,2,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,INTERNACIONAL,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,AVAÍ,2,1,CASA
BRASIL - SÉRIE A,PALMEIRAS,VITÓRIA,3,2,CASA
BRASIL - SÉRIE A,GRÊMIO,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,SPORT RECIFE,SANTOS,2,1,CASA
BRASIL - SÉRIE A,PARANÁ,INTERNACIONAL,1,1,EMPATE
BRASIL - SÉRIE A,CHAPECOENSE,SÃO PAULO,1,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,AMÉRICA MINEIRO,1,0,CASA
BRASIL - SÉRIE A,EC BAHIA,CRUZEIRO,0,0,EMPATE
BRASIL - SÉRIE A,CEARÁ,VASCO DA GAMA,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,BOTAFOGO,1,0,CASA
BRASIL - SÉRIE A,FLAMENGO,ATLÉTICO PARANAENSE,1,2,FORA
BRASIL - SÉRIE A,SÃO PAULO,SPORT RECIFE,0,0,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,PARANÁ,2,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,PALMEIRAS,0,1,FORA
BRASIL - SÉRIE A,CRUZEIRO,FLAMENGO,0,2,FORA
BRASIL - SÉRIE A,VITÓRIA,GRÊMIO,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CEARÁ,2,2,EMPATE
BRASIL - SÉRIE A,CORINTHIANS,CHAPECOENSE,0,0,EMPATE
BRASIL - SÉRIE A,INTERNACIONAL,FLUMINENSE,2,0,CASA
BRASIL - SÉRIE A,AMÉRICA MINEIRO,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,SANTOS,ATLÉTICO MINEIRO,3,2,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,SÃO PAULO,2,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,SPORT RECIFE,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,FLUMINENSE,2,0,CASA
BRASIL - SÉRIE A,CEARÁ,PARANÁ,1,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO MINEIRO,1,2,FORA
BRASIL - SÉRIE A,SANTOS,BOTAFOGO,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,GRÊMIO,2,0,CASA
BRASIL - SÉRIE A,PALMEIRAS,AMÉRICA MINEIRO,4,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,VITÓRIA,3,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,CEARÁ,0,0,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,PARANÁ,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,FLAMENGO,0,1,FORA
BRASIL - SÉRIE A,AMÉRICA MINEIRO,SANTOS,2,1,CASA
BRASIL - SÉRIE A,SÃO PAULO,CRUZEIRO,1,0,CASA
BRASIL - SÉRIE A,GRÊMIO,CHAPECOENSE,2,0,CASA
BRASIL - SÉRIE A,VITÓRIA,ATLÉTICO PARANAENSE,1,2,FORA
BRASIL - SÉRIE A,CORINTHIANS,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,AMÉRICA MINEIRO,2,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,BOTAFOGO,0,1,FORA
BRASIL - SÉRIE A,FLAMENGO,SANTOS,1,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,INTERNACIONAL,AMÉRICA MINEIRO,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,PARANÁ,ATLÉTICO MINEIRO,0,1,FORA
BRASIL - SÉRIE A,EC BAHIA,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,SPORT RECIFE,VITÓRIA,0,0,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,FLUMINENSE,3,0,CASA
BRASIL - SÉRIE A,CRUZEIRO,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,SANTOS,CHAPECOENSE,0,1,FORA
BRASIL - SÉRIE A,CEARÁ,INTERNACIONAL,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,VASCO DA GAMA,2,1,CASA
BRASIL - SÉRIE A,VITÓRIA,EC BAHIA,2,2,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,SPORT RECIFE,0,0,EMPATE
BRASIL - SÉRIE A,AMÉRICA MINEIRO,PARANÁ,0,1,FORA
BRASIL - SÉRIE A,CORINTHIANS,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,FLAMENGO,2,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CRUZEIRO,2,0,CASA
BRASIL - SÉRIE A,SPORT RECIFE,CEARÁ,1,0,CASA
BRASIL - SÉRIE A,AMÉRICA MINEIRO,CRUZEIRO,1,2,FORA
BRASIL - SÉRIE A,PARANÁ,VITÓRIA,1,1,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,FLAMENGO,2,2,EMPATE
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO PARANAENSE,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,CHAPECOENSE,1,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,VASCO DA GAMA,0,1,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,GRÊMIO,0,1,FORA
BRASIL - SÉRIE A,PALMEIRAS,SANTOS,3,2,CASA
BRASIL - SÉRIE A,CEARÁ,ATLÉTICO MINEIRO,2,1,CASA
BRASIL - SÉRIE A,CRUZEIRO,PARANÁ,3,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,BOTAFOGO,2,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,INTERNACIONAL,1,1,EMPATE
BRASIL - SÉRIE A,GRÊMIO,SPORT RECIFE,3,4,FORA
BRASIL - SÉRIE A,SANTOS,FLUMINENSE,3,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,AMÉRICA MINEIRO,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,EC BAHIA,2,1,CASA
BRASIL - SÉRIE A,FLAMENGO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,VITÓRIA,SÃO PAULO,0,1,FORA
BRASIL - SÉRIE A,CRUZEIRO,CEARÁ,0,2,FORA
BRASIL - SÉRIE A,INTERNACIONAL,SANTOS,2,2,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,ATLÉTICO MINEIRO,1,0,CASA
BRASIL - SÉRIE A,PALMEIRAS,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,VITÓRIA,CORINTHIANS,2,2,EMPATE
BRASIL - SÉRIE A,PARANÁ,FLAMENGO,0,4,FORA
BRASIL - SÉRIE A,CRUZEIRO,CHAPECOENSE,3,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,EC BAHIA,0,1,FORA
BRASIL - SÉRIE A,AMÉRICA MINEIRO,GRÊMIO,1,1,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,VASCO DA GAMA,2,1,CASA
BRASIL - SÉRIE A,SÃO PAULO,ATLÉTICO PARANAENSE,0,0,EMPATE
BRASIL - SÉRIE A,CEARÁ,BOTAFOGO,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,PARANÁ,2,0,CASA
BRASIL - SÉRIE A,CHAPECOENSE,VITÓRIA,0,1,FORA
BRASIL - SÉRIE A,INTERNACIONAL,SÃO PAULO,3,1,CASA
BRASIL - SÉRIE A,PALMEIRAS,GRÊMIO,2,0,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,CRUZEIRO,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,SPORT RECIFE,4,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,AMÉRICA MINEIRO,0,0,EMPATE
BRASIL - SÉRIE A,FLAMENGO,FLUMINENSE,3,0,CASA
BRASIL - SÉRIE A,SANTOS,CORINTHIANS,1,0,CASA
