LIGA,CONFRONTO_CASA,CONFRONTO_FORA,PLACAR_CASA,PLACAR_FORA,RESULTADO
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,BOTAFOGO,1,1,EMPATE
BRASIL - SÉRIE A,SANTOS,FORTALEZA EC,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,ATLÉTICO MINEIRO,3,4,FORA
BRASIL - SÉRIE A,GRÊMIO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,CORITIBA,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,SANTOS,0,0,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,FLUMINENSE,1,0,CASA
BRASIL - SÉRIE A,BRAGANTINO,CEARÁ,4,2,CASA
BRASIL - SÉRIE A,FORTALEZA EC,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,CORINTHIANS,EC BAHIA,3,2,CASA
BRASIL - SÉRIE A,FLUMINENSE,CORINTHIANS,2,1,CASA
BRASIL - SÉRIE A,GRÊMIO,FORTALEZA EC,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,FLAMENGO,2,0,CASA
BRASIL - SÉRIE A,GOIÁS,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,BRAGANTINO,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,ATLÉTICO GOIANIENSE,0,1,FORA
BRASIL - SÉRIE A,PALMEIRAS,SPORT RECIFE,2,2,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,VASCO DA GAMA,2,3,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CORITIBA,1,0,CASA
BRASIL - SÉRIE A,SANTOS,SÃO PAULO,2,2,EMPATE
