"LIGA","CONFRONTO_CASA","CONFRONTO_FORA"
BRASIL - SÉRIE A,VASCO DA GAMA,FLUMINENSE
BRASIL - SÉRIE A,CORINTHIANS,SÃO PAULO
BRASIL - SÉRIE A,SPORT RECIFE,CORITIBA
BRASIL - SÉRIE A,FLAMENGO,SANTOS
BRASIL - SÉRIE A,INTERNACIONAL,BOTAFOGO
BRASIL - SÉRIE A,PALMEIRAS,EC BAHIA
