"CONFRONTO_CASA","CONFRONTO_FORA","posse_casa","posse_fora","ataques_casa","ataques_fora","ataques_perigosos_casa","ataques_perigosos_fora","ResultFT"
Athletico PR,Avaí,"66","34","91","72","55","30",FORA
Ceará,Botafogo,"45","55","63","54","39","12",EMPATE
Palmeiras,Cruzeiro,"55","45","95","67","47","33",CASA
Chapecoense,Vasco da Gama,"51","49","84","89","35","39",FORA
Flamengo,Santos,"51","49","80","69","36","27",CASA
Palmeiras,Fluminense,"43","57","79","69","41","44",CASA
CSA,Chapecoense,"46","54","83","84","31","36",CASA
Santos,Athletico PR,"64","36","89","62","59","39",EMPATE
Botafogo,Atlético Mineiro,"51","49","75","74","51","49",CASA
Cruzeiro,Grêmio,"56","44","92","81","37","31",FORA
Goiás,Palmeiras,"35","65","66","86","26","49",FORA
Internacional,São Paulo,"54","46","96","81","46","36",CASA
Fortaleza,Fluminense,"48","52","70","80","33","41",FORA
Corinthians,Ceará,"55","45","63","62","41","35",EMPATE
Vasco da Gama,Bahia,"57","43","57","47","42","22",FORA
Fluminense,Avaí,"55","45","82","80","39","25",FORA
Cruzeiro,Vasco da Gama,"52","48","80","72","28","33",CASA
Corinthians,Atlético Mineiro,"52","48","74","84","45","52",CASA
Fortaleza,Goiás,"49","51","57","75","30","27",CASA
Flamengo,Palmeiras,"64","36","94","69","39","23",CASA
Internacional,Botafogo,"52","48","80","68","38","36",CASA
Chapecoense,Santos,"51","49","97","68","44","30",FORA
Athletico PR,Ceará,"64","36","94","69","48","30",CASA
Bahia,CSA,"65","35","68","33","40","15",CASA
São Paulo,Grêmio,"57","43","84","77","47","19",EMPATE
Botafogo,Chapecoense,"61","39","99","71","64","45",EMPATE
Ceará,Flamengo,"52","48","80","80","48","26",FORA
Avaí,Corinthians,"47","53","59","44","37","25",EMPATE
CSA,Cruzeiro,"54","46","99","70","45","26",EMPATE
Santos,Fortaleza,"58","42","97","68","55","43",EMPATE
Goiás,Internacional,"37","63","72","85","26","41",CASA
Grêmio,Athletico PR,"49","51","70","65","40","44",CASA
Atlético Mineiro,Bahia,"60","40","79","77","58","31",FORA
Athletico PR,São Paulo,"61","39","85","71","43","17",FORA
Chapecoense,Avaí,"46","54","87","90","34","34",CASA
Cruzeiro,Santos,"62","38","80","49","42","16",CASA
São Paulo,Ceará,"54","46","77","70","45","31",CASA
Fluminense,CSA,"65","35","83","77","53","18",FORA
Bahia,Goiás,"49","51","47","60","27","33",EMPATE
Grêmio,Palmeiras,"63","37","91","67","31","26",EMPATE
Vasco da Gama,Flamengo,"46","54","59","80","24","39",FORA
Athletico PR,Atlético Mineiro,"52","48","88","77","43","32",CASA
Corinthians,Botafogo,"54","46","63","62","46","25",CASA
CSA,Fortaleza,"53","47","103","82","57","37",FORA
Goiás,Vasco da Gama,"55","45","82","72","39","31",FORA
Palmeiras,Bahia,"44","56","73","86","35","24",EMPATE
Botafogo,Athletico PR,"56","44","62","64","54","54",CASA
Avaí,Cruzeiro,"55","45","64","56","37","37",EMPATE
Internacional,Corinthians,"58","42","96","81","49","28",EMPATE
Atlético Mineiro,Fluminense,"44","56","78","72","43","43",CASA
Flamengo,Grêmio,"56","44","65","42","49","28",CASA
São Paulo,Santos,"53","47","82","66","40","28",CASA
Corinthians,Goiás,"65","35","61","43","37","25",CASA
Grêmio,Chapecoense,"61","39","77","56","48","18",EMPATE
Atlético Mineiro,Cruzeiro,"42","58","62","84","41","51",CASA
Corinthians,Palmeiras,"52","48","60","62","26","30",EMPATE
Avaí,Botafogo,"64","36","55","40","48","18",FORA
Bahia,Flamengo,"36","64","34","59","15","33",CASA
Santos,Goiás,"53","47","59","53","35","39",CASA
Ceará,Fortaleza,"41","59","42","53","25","37",CASA
Fluminense,Internacional,"58","42","69","62","48","27",CASA
CSA,Grêmio,"42","58","81","87","31","49",EMPATE
Fortaleza,Corinthians,"49","51","49","57","40","41",FORA
Goiás,Atlético Mineiro,"47","53","63","63","41","33",EMPATE
Santos,Avaí,"62","38","71","57","51","39",CASA
Flamengo,Botafogo,"59","41","56","37","42","25",CASA
Chapecoense,Bahia,"49","51","82","87","45","43",EMPATE
Internacional,Ceará,"55","45","63","62","45","44",CASA
Cruzeiro,Athletico PR,"41","59","52","65","29","37",FORA
Fluminense,São Paulo,"62","38","70","38","42","25",FORA
Palmeiras,Vasco da Gama,"55","45","70","59","35","24",EMPATE
São Paulo,Chapecoense,"49","51","62","65","37","25",CASA
Avaí,Goiás,"54","46","68","61","31","23",EMPATE
Atlético Mineiro,Fortaleza,"49","51","78","64","47","36",EMPATE
Botafogo,Santos,"49","51","69","75","57","65",FORA
Internacional,Grêmio,"46","54","69","85","48","53",EMPATE
Ceará,Palmeiras,"45","55","43","59","33","34",CASA
CSA,Athletico PR,"57","43","88","75","48","35",FORA
Bahia,Cruzeiro,"54","46","52","41","33","27",EMPATE
Vasco da Gama,Fluminense,"49","51","52","36","31","22",CASA
Fluminense,Ceará,"62","38","72","49","49","28",EMPATE
Chapecoense,Atlético Mineiro,"37","63","62","76","34","45",FORA
Cruzeiro,Botafogo,"45","55","60","64","37","22",EMPATE
Corinthians,CSA,"69","31","77","37","47","15",CASA
Athletico PR,Internacional,"63","37","81","64","50","28",CASA
Flamengo,Goiás,"66","34","63","39","48","25",CASA
São Paulo,Palmeiras,"45","55","65","79","31","49",EMPATE
Bahia,Santos,"42","58","41","62","20","30",FORA
Grêmio,Vasco da Gama,"58","42","65","34","51","23",CASA
Fortaleza,Avaí,"40","60","36","56","19","33",CASA
Atlético Mineiro,São Paulo,"67","33","104","55","59","34",EMPATE
Palmeiras,Avaí,"56","44","76","77","60","55",CASA
Chapecoense,Fluminense,"37","63","62","68","34","37",EMPATE
Goiás,Athletico PR,"35","65","52","88","32","54",CASA
Vasco da Gama,Ceará,"55","45","68","47","42","27",CASA
Internacional,Bahia,"47","53","51","55","38","42",CASA
Santos,Corinthians,"52","48","67","59","47","40",CASA
CSA,Flamengo,"33","67","49","60","27","52",FORA
Fortaleza,Cruzeiro,"52","48","51","48","37","30",CASA
Botafogo,Grêmio,"46","54","64","70","49","58",FORA
Goiás,Chapecoense,"55","45","66","50","42","23",CASA
Santos,Atlético Mineiro,"54","46","68","51","45","33",CASA
Fluminense,Flamengo,"57","43","59","65","36","42",EMPATE
CSA,Botafogo,"47","53","78","85","46","43",FORA
Avaí,São Paulo,"40","60","62","70","42","47",EMPATE
Grêmio,Fortaleza,"66","34","81","68","66","30",CASA
Cruzeiro,Corinthians,"45","55","52","53","39","27",EMPATE
Palmeiras,Athletico PR,"51","49","61","50","41","24",CASA
Vasco da Gama,Internacional,"36","64","41","61","20","38",CASA
Internacional,Avaí,"58","42","66","54","46","42",CASA
Atlético Mineiro,CSA,"64","36","60","44","40","26",CASA
Chapecoense,Palmeiras,"51","49","73","74","34","35",FORA
Ceará,Santos,"47","53","56","52","36","34",FORA
São Paulo,Cruzeiro,"47","53","74","84","35","43",EMPATE
Athletico PR,Fluminense,"51","49","64","56","43","27",CASA
Botafogo,Vasco da Gama,"51","49","72","66","55","58",CASA
Bahia,Grêmio,"54","46","50","49","32","20",CASA
Flamengo,Fortaleza,"58","42","64","37","38","22",CASA
Avaí,Ceará,"48","52","65","56","38","26",FORA
CSA,Goiás,"45","55","84","95","38","46",CASA
Cruzeiro,Chapecoense,"61","39","16","13","9","4",FORA
Corinthians,São Paulo,"45","55","48","52","29","40",CASA
Bahia,Fluminense,"43","57","45","55","23","26",CASA
Santos,Internacional,"57","43","63","67","36","44",EMPATE
Flamengo,Athletico PR,"59","41","49","47","34","33",CASA
Grêmio,Atlético Mineiro,"56","44","61","42","53","32",CASA
Vasco da Gama,Avaí,"49","51","40","41","24","29",EMPATE
Internacional,CSA,"61","39","71","44","60","33",CASA
Chapecoense,Fortaleza,"54","46","77","69","45","31",FORA
Goiás,Botafogo,"41","59","56","51","46","26",CASA
Athletico PR,Corinthians,"61","39","62","51","46","24",FORA
São Paulo,Bahia,"59","41","77","68","49","28",EMPATE
Atlético Mineiro,Flamengo,"33","67","49","66","36","48",CASA
Palmeiras,Santos,"41","59","65","67","27","34",CASA
Fluminense,Cruzeiro,"57","43","63","53","38","23",CASA
Fortaleza,São Paulo,"52","48","58","59","32","34",FORA
Avaí,CSA,"65","35","74","55","53","31",EMPATE
Athletico PR,Bahia,"59","41","62","48","40","30",CASA
Internacional,Cruzeiro,"56","44","57","51","45","41",CASA
Santos,Vasco da Gama,"58","42","75","59","51","40",CASA
Flamengo,Chapecoense,"54","46","46","45","34","28",CASA
Goiás,Ceará,"40","60","58","76","35","49",CASA
Corinthians,Grêmio,"46","54","75","75","29","36",EMPATE
Fluminense,Botafogo,"56","44","58","36","49","29",FORA
Grêmio,Fluminense,"48","52","63","52","49","39",FORA
Bahia,Avaí,"57","43","60","45","41","18",CASA
Cruzeiro,Goiás,"56","44","65","43","46","26",CASA
São Paulo,Flamengo,"66","34","70","51","48","28",EMPATE
Botafogo,Fortaleza,"51","49","65","61","49","50",CASA
CSA,Santos,"35","65","71","88","34","58",EMPATE
Chapecoense,Athletico PR,"52","48","69","60","44","35",EMPATE
Ceará,Atlético Mineiro,"49","51","74","40","50","27",FORA
Palmeiras,Internacional,"37","63","63","64","33","40",CASA
Vasco da Gama,Corinthians,"55","45","43","41","29","23",EMPATE
Botafogo,Bahia,"48","52","71","76","60","67",CASA
Santos,Fluminense,"49","51","69","58","53","32",CASA
Fortaleza,Athletico PR,"43","57","43","77","32","47",CASA
Vasco da Gama,Atlético Mineiro,"56","44","81","69","68","51",FORA
Goiás,São Paulo,"48","52","67","63","40","34",FORA
Cruzeiro,Ceará,"55","45","85","54","44","24",CASA
Avaí,Grêmio,"49","51","66","68","35","39",EMPATE
Internacional,Flamengo,"45","55","52","51","37","39",CASA
Corinthians,Chapecoense,"54","46","67","57","39","26",CASA
CSA,Palmeiras,"45","55","74","81","35","49",EMPATE
Palmeiras,Fortaleza,"52","48","80","65","55","33",CASA
Fluminense,Goiás,"67","33","57","34","38","22",FORA
Ceará,CSA,"54","46","76","38","49","21",CASA
Bahia,Corinthians,"42","58","57","51","37","20",CASA
Athletico PR,Vasco da Gama,"56","44","51","55","38","32",CASA
Grêmio,Santos,"62","38","61","42","53","30",FORA
Flamengo,Cruzeiro,"57","43","56","44","40","20",CASA
Atlético Mineiro,Avaí,"58","42","83","64","41","31",CASA
Chapecoense,Internacional,"45","55","75","89","28","45",CASA
São Paulo,Botafogo,"39","61","75","99","58","63",CASA
Paraná,Internacional,"47","53","73","74","40","39",EMPATE
Chapecoense,São Paulo,"47","53","77","66","36","32",CASA
Bahia,Cruzeiro,"44","56","59","51","37","27",EMPATE
Fluminense,América Mineiro,"43","57","61","75","31","40",CASA
Ceará,Vasco da Gama,"49","51","63","54","42","30",EMPATE
Sport Recife,Santos,"49","51","60","63","32","29",CASA
Palmeiras,Vitória,"54","46","69","54","49","31",CASA
Grêmio,Corinthians,"53","47","69","67","49","31",CASA
Atlético Mineiro,Botafogo,"53","47","39","43","23","23",CASA
Flamengo,Athletico PR,"52","48","60","55","38","30",FORA
Botafogo,Paraná,"54","46","72","55","38","35",CASA
São Paulo,Sport Recife,"69","31","106","47","64","23",EMPATE
América Mineiro,Bahia,"46","54","71","70","41","45",CASA
Corinthians,Chapecoense,"63","37","106","87","79","62",EMPATE
Internacional,Fluminense,"60","40","68","44","51","31",CASA
Cruzeiro,Flamengo,"53","47","64","48","46","25",FORA
Athletico PR,Ceará,"59","41","76","66","44","28",EMPATE
Vitória,Grêmio,"46","54","44","63","28","48",EMPATE
Vasco da Gama,Palmeiras,"47","53","49","51","27","34",FORA
Santos,Atlético Mineiro,"47","53","76","83","52","59",CASA
Chapecoense,Sport Recife,"42","58","66","74","36","43",CASA
Bahia,Fluminense,"55","45","56","38","32","21",CASA
Vasco da Gama,São Paulo,"38","62","42","60","25","33",CASA
Cruzeiro,Vitória,"51","49","50","49","33","31",CASA
Athletico PR,Corinthians,"51","49","69","69","34","27",CASA
Flamengo,Grêmio,"45","55","52","62","39","39",CASA
Palmeiras,América Mineiro,"49","51","82","71","57","36",CASA
Santos,Botafogo,"48","52","67","76","44","36",EMPATE
Internacional,Atlético Mineiro,"56","44","72","58","55","37",FORA
Fluminense,Ceará,"58","42","63","47","39","30",EMPATE
São Paulo,Cruzeiro,"55","45","86","58","43","30",CASA
Grêmio,Chapecoense,"65","35","75","46","50","31",CASA
Paraná,Palmeiras,"36","64","51","83","30","51",EMPATE
América Mineiro,Santos,"51","49","61","55","38","27",CASA
Botafogo,Internacional,"40","60","77","76","55","54",CASA
Sport Recife,Flamengo,"57","43","65","58","40","30",FORA
Atlético Mineiro,Bahia,"51","49","68","65","36","36",CASA
Vitória,Athletico PR,"56","44","50","41","39","30",FORA
Corinthians,Vasco da Gama,"43","57","48","58","27","32",CASA
Internacional,América Mineiro,"50","50","62","67","45","45",CASA
São Paulo,Grêmio,"61","39","76","57","50","27",EMPATE
Chapecoense,Botafogo,"50","50","70","63","38","27",FORA
Flamengo,Santos,"59","41","43","34","28","22",CASA
Cruzeiro,Corinthians,"45","55","56","51","28","25",CASA
Sport Recife,Vitória,"53","47","65","56","35","36",EMPATE
Palmeiras,Fluminense,"51","49","67","66","34","34",CASA
Paraná,Atlético Mineiro,"31","69","58","71","19","50",FORA
Bahia,Ceará,"61","39","70","48","52","25",CASA
Vasco da Gama,Athletico PR,"41","59","50","53","28","28",EMPATE
Santos,Chapecoense,"57","43","84","81","59","62",FORA
Fluminense,Sport Recife,"57","43","70","52","44","27",EMPATE
Atlético Mineiro,Palmeiras,"52","48","66","54","40","32",EMPATE
Vitória,Bahia,"54","46","49","44","32","36",EMPATE
Ceará,Internacional,"48","52","62","66","43","41",EMPATE
Grêmio,Vasco da Gama,"63","37","74","44","60","31",CASA
Athletico PR,Cruzeiro,"47","53","55","63","23","30",CASA
Botafogo,Flamengo,"41","59","42","56","24","33",CASA
América Mineiro,Paraná,"61","39","71","41","47","20",FORA
Corinthians,São Paulo,"49","51","52","53","36","40",EMPATE
Sport Recife,Ceará,"56","44","73","55","34","28",CASA
Bahia,Chapecoense,"63","37","71","53","37","26",CASA
Internacional,Athletico PR,"64","36","87","68","63","42",CASA
Paraná,Vitória,"45","55","67","71","31","39",EMPATE
América Mineiro,Cruzeiro,"57","43","83","67","52","31",FORA
Botafogo,Corinthians,"43","57","72","84","56","60",CASA
São Paulo,Flamengo,"45","55","74","78","40","46",EMPATE
Palmeiras,Santos,"41","59","57","74","26","28",CASA
Atlético Mineiro,Grêmio,"55","45","75","80","49","47",FORA
Fluminense,Vasco da Gama,"61","39","52","34","34","20",FORA
Ceará,Atlético Mineiro,"45","55","51","65","32","42",CASA
Cruzeiro,Paraná,"56","44","66","69","43","32",CASA
Athletico PR,Botafogo,"63","37","79","63","49","23",CASA
Chapecoense,América Mineiro,"49","51","78","72","47","43",CASA
Flamengo,Palmeiras,"65","35","67","48","47","28",EMPATE
Corinthians,Bahia,"50","50","71","64","36","39",CASA
Santos,Fluminense,"66","34","82","64","63","51",CASA
Grêmio,Sport Recife,"67","33","84","47","57","33",FORA
Vasco da Gama,Internacional,"57","43","60","53","36","33",EMPATE
Vitória,São Paulo,"64","36","56","41","45","28",FORA
Cruzeiro,Ceará,"57","43","82","64","50","32",FORA
Internacional,Santos,"49","51","69","56","46","38",EMPATE
Cruzeiro,Chapecoense,"53","47","50","50","30","33",CASA
Paraná,Flamengo,"37","63","65","81","32","49",FORA
Vitória,Corinthians,"45","55","47","43","29","29",EMPATE
Fluminense,Atlético Mineiro,"57","43","72","66","36","36",CASA
Palmeiras,Ceará,"44","56","65","69","30","44",CASA
São Paulo,Athletico PR,"39","61","70","77","46","38",EMPATE
Sport Recife,Vasco da Gama,"54","46","72","66","39","32",CASA
América Mineiro,Grêmio,"53","47","72","76","51","41",EMPATE
Botafogo,Bahia,"61","39","84","72","60","54",FORA
Ceará,Botafogo,"56","44","88","49","58","31",EMPATE
Atlético Mineiro,América Mineiro,"59","41","64","56","37","32",EMPATE
Athletico PR,Sport Recife,"68","32","62","53","47","17",CASA
Vasco da Gama,Cruzeiro,"53","47","47","42","33","22",CASA
Palmeiras,Grêmio,"39","61","64","93","32","37",CASA
Internacional,São Paulo,"55","45","58","61","43","45",CASA
Chapecoense,Vitória,"58","42","94","58","45","25",FORA
Bahia,Paraná,"68","32","80","40","46","20",CASA
Santos,Corinthians,"49","51","60","67","40","23",CASA
Flamengo,Fluminense,"48","52","45","51","24","34",CASA
Botafogo,Vasco da Gama,"51","49","70","66","50","51",EMPATE
Fluminense,Paraná,"64","36","84","55","43","27",CASA
Grêmio,Bahia,"70","30","75","44","65","31",EMPATE
São Paulo,Palmeiras,"55","45","74","62","41","33",FORA
Athletico PR,América Mineiro,"59","41","75","65","42","29",CASA
Chapecoense,Atlético Mineiro,"41","59","65","64","40","41",CASA
Vitória,Santos,"60","40","55","40","34","27",FORA
Corinthians,Flamengo,"46","54","66","70","27","44",FORA
Sport Recife,Internacional,"46","54","59","74","29","40",CASA
Paraná,Vasco da Gama,"44","56","64","83","44","49",EMPATE
Ceará,Chapecoense,"49","51","54","50","37","34",CASA
Atlético Mineiro,Sport Recife,"61","39","73","53","50","29",CASA
Botafogo,São Paulo,"45","55","63","75","46","56",EMPATE
Santos,Athletico PR,"63","37","84","56","50","32",CASA
Internacional,Vitória,"65","35","82","48","61","28",CASA
Palmeiras,Cruzeiro,"53","47","80","82","60","49",CASA
Bahia,Flamengo,"44","56","51","80","28","35",EMPATE
América Mineiro,Corinthians,"40","60","64","68","28","37",EMPATE
Fluminense,Grêmio,"56","44","52","51","30","25",FORA
Santos,Vasco da Gama,"55","45","73","61","42","35",EMPATE
Chapecoense,Fluminense,"57","43","63","51","47","33",FORA
Vasco da Gama,Bahia,"59","41","66","50","41","32",CASA
Cruzeiro,Santos,"49","51","59","52","28","26",CASA
Vitória,Botafogo,"62","38","65","49","42","29",FORA
Sport Recife,Palmeiras,"48","52","59","59","31","24",FORA
Athletico PR,Paraná,"52","48","66","69","49","41",CASA
Flamengo,Atlético Mineiro,"49","51","52","55","33","37",CASA
Corinthians,Internacional,"50","50","75","78","40","47",EMPATE
Grêmio,Ceará,"60","40","65","52","56","42",CASA
São Paulo,América Mineiro,"58","42","78","72","58","28",EMPATE
Chapecoense,Internacional,"51","49","70","63","42","36",CASA
Corinthians,Sport Recife,"65","35","84","64","45","36",CASA
Cruzeiro,Atlético Mineiro,"46","54","57","55","37","27",EMPATE
Athletico PR,Fluminense,"51","49","70","75","47","38",CASA
Bahia,Palmeiras,"48","52","67","80","35","38",EMPATE
Santos,São Paulo,"49","51","90","94","70","68",EMPATE
Botafogo,América Mineiro,"55","45","83","74","67","50",CASA
Vasco da Gama,Flamengo,"39","61","63","69","31","48",EMPATE
Ceará,Vitória,"46","54","64","70","39","33",CASA
Grêmio,Paraná,"61","39","70","71","57","38",CASA
Chapecoense,Athletico PR,"52","48","70","64","44","32",CASA
Atlético Mineiro,Athletico PR,"47","53","49","64","34","44",CASA
Paraná,Santos,"47","53","58","64","38","39",FORA
Vitória,Vasco da Gama,"55","45","54","37","36","27",CASA
América Mineiro,Ceará,"55","45","61","52","43","37",EMPATE
Fluminense,Botafogo,"44","56","60","70","35","33",CASA
Palmeiras,Corinthians,"55","45","70","60","46","31",CASA
Internacional,Grêmio,"48","52","66","63","44","42",CASA
Flamengo,Chapecoense,"61","39","60","49","44","24",CASA
São Paulo,Bahia,"53","47","83","76","49","38",CASA
Sport Recife,Cruzeiro,"54","46","54","54","31","22",EMPATE
América Mineiro,Vasco da Gama,"42","58","45","53","22","29",CASA
Santos,Grêmio,"52","48","98","99","69","65",EMPATE
Atlético Mineiro,São Paulo,"42","58","70","79","32","45",CASA
Internacional,Flamengo,"42","58","62","69","43","49",CASA
Paraná,Chapecoense,"41","59","52","60","32","32",EMPATE
Palmeiras,Athletico PR,"49","51","81","65","49","41",CASA
Ceará,Corinthians,"40","60","46","69","34","46",CASA
Bahia,Sport Recife,"49","51","55","57","40","39",CASA
Botafogo,Cruzeiro,"48","52","57","70","43","47",EMPATE
Cruzeiro,Internacional,"54","46","64","37","34","28",EMPATE
Chapecoense,Palmeiras,"56","44","79","66","43","36",FORA
Athletico PR,Bahia,"58","42","55","58","45","28",CASA
São Paulo,Fluminense,"47","53","63","56","41","38",EMPATE
Sport Recife,Paraná,"52","48","54","60","31","37",CASA
Flamengo,Ceará,"62","38","66","40","54","25",FORA
Corinthians,Atlético Mineiro,"57","43","67","53","45","33",EMPATE
Vasco da Gama,Santos,"60","40","68","43","41","23",FORA
Vitória,América Mineiro,"55","45","60","52","45","34",CASA
Grêmio,Botafogo,"57","43","69","53","47","40",CASA
Athletico PR,Vasco da Gama,"55","45","64","72","36","26",CASA
Ceará,Bahia,"61","39","74","44","52","22",FORA
Vasco da Gama,Chapecoense,"52","48","59","58","33","35",CASA
América Mineiro,Flamengo,"48","52","60","47","31","27",EMPATE
Vitória,Atlético Mineiro,"43","57","46","60","33","42",CASA
Internacional,Palmeiras,"57","43","62","71","40","58",EMPATE
São Paulo,Ceará,"59","41","70","45","38","19",CASA
Cruzeiro,Fluminense,"47","53","60","48","36","22",CASA
Botafogo,Sport Recife,"46","54","74","80","49","64",CASA
Athletico PR,Grêmio,"53","47","57","53","33","28",CASA
Corinthians,Paraná,"51","49","76","64","50","42",CASA
Santos,Bahia,"46","54","61","74","31","31",CASA
Atlético Mineiro,Vasco da Gama,"68","32","62","30","40","18",EMPATE
Flamengo,Vitória,"65","35","56","48","40","26",CASA
Fluminense,Corinthians,"50","50","87","51","52","27",CASA
Grêmio,Cruzeiro,"70","30","78","40","63","27",EMPATE
Sport Recife,América Mineiro,"62","38","63","47","39","26",FORA
Palmeiras,Botafogo,"65","35","64","49","48","25",CASA
Paraná,São Paulo,"46","54","69","71","45","41",EMPATE
Bahia,Internacional,"60","40","66","38","50","20",FORA
Vasco da Gama,Ceará,"58","42","55","48","32","30",EMPATE
América Mineiro,Fluminense,"52","48","76","76","47","36",EMPATE
São Paulo,Chapecoense,"44","56","71","74","44","52",CASA
Cruzeiro,Bahia,"51","49","90","98","53","40",EMPATE
Vitória,Palmeiras,"51","49","60","58","32","28",FORA
Botafogo,Atlético Mineiro,"54","46","79","64","71","54",FORA
Athletico PR,Flamengo,"38","62","56","65","32","49",CASA
Internacional,Paraná,"70","30","67","44","60","28",CASA
Corinthians,Grêmio,"54","46","72","74","47","53",FORA
Santos,Sport Recife,"48","52","75","73","57","49",CASA
Fluminense,Internacional,"57","43","81","73","47","42",FORA
Palmeiras,Vasco da Gama,"54","46","85","70","55","26",CASA
Grêmio,Vitória,"52","48","60","50","48","34",CASA
Chapecoense,Corinthians,"45","55","67","74","42","41",CASA
Flamengo,Cruzeiro,"53","47","52","49","29","24",CASA
Sport Recife,São Paulo,"48","52","51","48","38","34",FORA
Atlético Mineiro,Santos,"42","58","43","43","26","21",CASA
Paraná,Botafogo,"51","49","64","47","51","29",EMPATE
Bahia,América Mineiro,"55","45","55","51","35","23",CASA
Ceará,Athletico PR,"49","51","60","60","43","35",EMPATE
Ceará,Santos,"52","48","71","70","49","38",EMPATE
Atlético Mineiro,Internacional,"57","43","53","41","31","21",FORA
Fluminense,Bahia,"50","50","61","73","36","39",EMPATE
Sport Recife,Chapecoense,"64","36","64","51","48","25",EMPATE
Paraná,Ceará,"66","34","71","65","48","32",FORA
América Mineiro,Palmeiras,"51","49","52","58","18","31",EMPATE
Vitória,Cruzeiro,"56","44","47","40","29","29",EMPATE
São Paulo,Vasco da Gama,"48","52","65","71","47","39",CASA
Corinthians,Athletico PR,"53","47","76","71","55","56",EMPATE
Grêmio,Flamengo,"39","61","50","65","39","44",CASA
Botafogo,Santos,"51","49","77","72","63","49",EMPATE
Bahia,Atlético Mineiro,"61","39","68","45","54","32",EMPATE
Atlético Mineiro,Ceará,"63","37","82","61","60","39",CASA
Bahia,Corinthians,"48","52","60","57","34","28",CASA
Internacional,Vasco da Gama,"54","46","78","54","57","37",CASA
Botafogo,Athletico PR,"44","56","62","61","53","51",CASA
Palmeiras,Flamengo,"53","47","51","45","28","31",EMPATE
Paraná,Cruzeiro,"43","57","60","69","30","45",EMPATE
Sport Recife,Grêmio,"51","49","98","80","45","34",EMPATE
Fluminense,Santos,"51","49","42","45","28","29",FORA
América Mineiro,Chapecoense,"52","48","51","49","33","35",EMPATE
São Paulo,Vitória,"57","43","63","58","45","32",CASA
Flamengo,Paraná,"57","43","41","36","30","23",CASA
Santos,Internacional,"58","42","81","69","39","34",FORA
Atlético Mineiro,Fluminense,"48","52","54","55","36","28",CASA
Bahia,Botafogo,"63","37","65","37","47","18",EMPATE
Ceará,Palmeiras,"44","56","40","55","33","31",EMPATE
Grêmio,América Mineiro,"61","39","67","55","48","37",CASA
Corinthians,Vitória,"59","41","66","55","45","38",EMPATE
Chapecoense,Cruzeiro,"47","53","72","75","35","38",CASA
Vasco da Gama,Sport Recife,"41","59","56","77","31","35",CASA
Athletico PR,São Paulo,"56","44","56","56","36","31",FORA
América Mineiro,Atlético Mineiro,"53","47","75","66","58","35",FORA
Paraná,Bahia,"46","54","62","65","33","49",CASA
Fluminense,Flamengo,"51","49","70","61","44","33",FORA
Cruzeiro,Vasco da Gama,"66","34","58","41","43","17",EMPATE
Grêmio,Palmeiras,"49","51","59","63","46","43",FORA
Sport Recife,Athletico PR,"36","64","70","87","30","45",CASA
Corinthians,Santos,"47","53","47","45","40","35",EMPATE
Vitória,Chapecoense,"50","50","48","48","36","33",CASA
Botafogo,Ceará,"57","43","78","71","62","55",EMPATE
São Paulo,Internacional,"54","46","72","62","55","38",EMPATE
Paraná,Fluminense,"46","54","55","60","34","43",CASA
América Mineiro,Athletico PR,"46","54","42","43","24","24",CASA
Bahia,Grêmio,"59","41","57","40","36","21",FORA
Flamengo,Corinthians,"53","47","60","42","37","35",CASA
Santos,Vitória,"52","48","75","54","38","21",CASA
Palmeiras,São Paulo,"51","49","43","39","32","24",CASA
Vasco da Gama,Botafogo,"65","35","87","54","64","35",FORA
Atlético Mineiro,Chapecoense,"61","39","53","41","39","17",EMPATE
Internacional,Sport Recife,"59","41","63","60","50","41",EMPATE
Athletico PR,Santos,"46","54","60","62","34","49",CASA
Corinthians,América Mineiro,"53","47","46","36","36","18",CASA
Flamengo,Bahia,"56","44","53","60","33","36",CASA
Cruzeiro,Palmeiras,"46","54","78","80","38","30",CASA
Grêmio,Fluminense,"65","35","74","47","69","28",EMPATE
Chapecoense,Ceará,"53","47","75","56","43","22",CASA
São Paulo,Botafogo,"47","53","72","82","28","46",CASA
Vitória,Internacional,"50","50","46","47","37","29",FORA
Vasco da Gama,Paraná,"47","53","56","49","39","26",CASA
Sport Recife,Atlético Mineiro,"46","54","61","58","44","36",CASA
América Mineiro,São Paulo,"48","52","66","62","41","36",FORA
Ceará,Grêmio,"41","59","44","71","24","49",FORA
Bahia,Vasco da Gama,"56","44","55","52","29","26",CASA
Botafogo,Vitória,"57","43","63","59","59","44",EMPATE
Santos,Cruzeiro,"51","49","63","58","43","38",FORA
Internacional,Corinthians,"59","41","74","44","57","30",CASA
Paraná,Athletico PR,"42","58","55","59","32","39",EMPATE
Atlético Mineiro,Flamengo,"68","32","80","60","56","34",FORA
Palmeiras,Sport Recife,"62","38","69","44","51","28",FORA
Fluminense,Chapecoense,"40","60","53","64","22","38",CASA
Internacional,Chapecoense,"52","48","68","63","56","41",CASA
Fluminense,Athletico PR,"37","63","46","78","23","48",CASA
Paraná,Grêmio,"31","69","55","63","25","48",EMPATE
América Mineiro,Botafogo,"44","56","51","55","32","29",CASA
São Paulo,Santos,"43","57","72","72","54","48",CASA
Sport Recife,Corinthians,"46","54","56","51","42","31",EMPATE
