"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Ceará,Cruzeiro,0,0,11,0,0,2,0,3,0,2,8,0,0,3,6,0,5,0,2,0,EMPATE
Avaí,Atlético Mineiro,0,22,0,27,0,16,0,0,5,0,0,0,0,4,0,6,0,6,0,1,CASA
Goiás,Fluminense,0,30,0,19,0,11,0,5,5,0,0,1,0,3,0,5,0,4,5,0,CASA
Fortaleza,Palmeiras,0,14,0,25,0,5,0,1,0,6,0,1,0,1,0,3,0,0,5,0,FORA
Vasco da Gama,Athletico PR,0,0,12,0,8,0,0,4,0,3,4,0,2,0,9,0,4,0,5,0,EMPATE
CSA,Ceará,0,8,0,3,0,10,0,15,0,0,0,5,0,2,10,0,0,5,11,0,CASA
Internacional,Chapecoense,24,0,28,0,24,0,4,0,0,10,1,0,5,0,0,1,5,0,0,7,CASA
Santos,Grêmio,16,0,0,2,14,0,2,0,0,10,1,0,5,0,0,4,7,0,0,3,FORA
Corinthians,Bahia,0,4,0,13,1,0,1,0,2,0,0,0,1,0,14,0,1,0,0,1,CASA
Cruzeiro,Flamengo,0,12,0,11,0,7,3,0,3,0,1,0,0,2,5,0,0,3,0,4,FORA
Botafogo,São Paulo,2,0,3,0,0,6,9,0,0,0,0,2,0,0,0,14,0,10,0,11,FORA
São Paulo,CSA,38,0,9,0,23,0,0,0,0,12,3,0,16,0,14,0,8,0,0,3,EMPATE
Grêmio,Goiás,24,0,9,0,3,0,0,0,3,0,8,0,1,0,0,2,11,0,0,0,CASA
Fluminense,Corinthians,0,10,0,6,0,11,0,7,0,1,0,2,0,0,0,8,0,3,6,0,CASA
Bahia,Fortaleza,10,0,15,0,10,0,0,11,0,0,3,0,1,0,0,6,0,2,6,0,EMPATE
Atlético Mineiro,Internacional,20,0,10,0,16,0,9,0,0,0,4,0,0,3,8,0,10,0,0,8,FORA
Athletico PR,Avaí,32,0,19,0,25,0,0,1,0,2,2,0,0,0,12,0,7,0,2,0,FORA
Ceará,Botafogo,0,10,9,0,27,0,0,13,0,6,12,0,2,0,12,0,18,0,8,0,EMPATE
Palmeiras,Cruzeiro,10,0,28,0,14,0,0,2,4,0,3,0,2,0,6,0,0,0,0,0,CASA
Chapecoense,Vasco da Gama,2,0,0,5,0,4,10,0,1,0,2,0,2,0,11,0,2,0,0,8,FORA
Flamengo,Santos,2,0,11,0,9,0,7,0,0,2,0,1,2,0,0,4,2,0,0,7,CASA
Palmeiras,Fluminense,0,14,10,0,0,3,0,0,5,0,4,0,0,3,12,0,0,4,1,0,CASA
CSA,Chapecoense,0,8,0,1,0,5,0,11,4,0,0,4,0,7,0,7,0,4,6,0,CASA
Santos,Athletico PR,28,0,27,0,20,0,7,0,0,7,8,0,6,0,3,0,8,0,0,7,EMPATE
Botafogo,Atlético Mineiro,2,0,1,0,2,0,1,0,4,0,0,1,0,4,0,3,0,6,0,0,CASA
Cruzeiro,Grêmio,12,0,11,0,6,0,0,2,0,4,5,0,0,0,0,2,5,0,1,0,FORA
Goiás,Palmeiras,0,30,0,20,0,23,10,0,5,0,0,6,0,0,0,17,0,4,0,8,FORA
Internacional,São Paulo,8,0,15,0,10,0,0,1,0,0,0,1,1,0,0,0,7,0,0,0,CASA
